Wall time,Step,Value
1650353570.4886818,1688,0.0
1650353615.8355296,2413,0.0
1650353668.8874838,3304,0.0
1650353712.38003,4063,0.0
1650353766.2011561,4853,0.0
1650353814.8059733,5605,0.0
1650353870.5043533,6553,0.0
1650353911.361529,7210,0.0
1650353959.3640437,8051,0.0
1650354005.3852248,8826,0.0
1650354053.2446637,9629,0.0
1650354103.3380735,10472,0.0
1650354149.571141,11258,0.0
1650354195.6687727,12042,0.0
1650354242.3209567,12809,0.0
1650354294.7382572,13666,0.0
1650354347.4761484,14540,0.0
1650354386.2763243,15253,0.0
1650354429.0917008,16067,0.0
1650354477.3274271,16822,0.3499999940395355
1650354537.3438225,17722,0.0
1650354586.0069513,18516,0.0
1650354633.73178,19220,0.0
1650354690.3408556,20114,0.0
1650354738.3640873,20898,1.0
1650354780.6190164,21618,0.3499999940395355
1650354828.0444195,22407,0.949999988079071
1650354879.4143243,23255,0.949999988079071
1650354925.3775063,24025,1.0
1650354975.2474213,24845,1.0
1650355026.0033047,25678,0.8999999761581421
1650355072.0527983,26458,1.0
1650355120.4067202,27237,1.0
1650355169.992809,28084,1.0
1650355213.5106685,28817,1.0
1650355263.0044281,29650,1.0
1650355310.0202742,30423,0.75
1650355356.1260521,31208,0.6499999761581421
1650355406.6011145,32072,0.6000000238418579
1650355453.34041,32846,0.6499999761581421
1650355502.200977,33658,0.699999988079071
1650355548.5214508,34439,1.0
1650355597.3784523,35238,1.0
1650355645.4838738,36039,1.0
1650355692.810835,36811,1.0
1650355743.7821786,37657,1.0
1650355788.3399324,38402,1.0
1650355838.6357913,39231,1.0
1650355887.0680656,40050,1.0
1650355933.6515558,40822,1.0
1650355983.0460563,41647,1.0
1650356028.2292125,42408,1.0
1650356080.9739032,43281,1.0
1650356126.4187639,44045,1.0
1650356174.6136606,44839,1.0
1650356221.337934,45605,1.0
1650356273.227433,46468,1.0
1650356317.9874203,47218,1.0
1650356364.8641443,48012,1.0
1650356413.0301526,48821,1.0
1650356459.8323565,49614,1.0
1650356508.8808358,50434,1.0
1650356554.9636438,51204,1.0
1650356603.6352892,52004,1.0
1650356651.5609875,52808,1.0
1650356700.2481468,53630,1.0
1650356750.3931134,54460,1.0
1650356795.8127496,55209,1.0
1650356852.5187218,56143,1.0
1650356892.9620562,56805,1.0
1650356941.0857656,57601,1.0
1650356991.954655,58450,1.0
1650357040.5976539,59257,1.0
1650357086.9022903,60010,1.0
1650357136.2040892,60833,1.0
1650357184.8255544,61657,1.0
1650357230.7362401,62407,1.0
1650357283.07982,63274,1.0
1650357328.0535302,64015,0.8999999761581421
1650357377.2068155,64821,1.0
1650357428.002021,65657,1.0
1650357476.0155842,66468,1.0
1650357520.6312666,67202,1.0
1650357572.3412511,68069,1.0
1650357619.89402,68838,1.0
1650357666.0459476,69613,1.0
1650357715.239405,70430,1.0
1650357763.8916616,71243,1.0
1650357812.316908,72041,1.0
1650357861.69197,72867,1.0
1650357908.8874934,73642,1.0
1650357956.190222,74431,1.0
1650358006.0721366,75251,1.0
1650358052.3198855,76014,1.0
1650358099.9678705,76814,1.0
1650358150.0541496,77642,1.0
1650358196.9716325,78407,1.0
1650358244.4590154,79202,1.0
1650358293.615638,80023,0.800000011920929
1650358340.7170517,80806,1.0
