Wall time,Step,Value
1650370450.597478,1018,1.0
1650370476.7447429,1528,1.0
1650370501.462743,2037,1.0
1650370521.7866588,2502,1.0
1650370546.229585,3002,1.0
1650370571.6150465,3519,1.0
1650370595.9858692,4032,1.0
1650370620.729288,4512,1.0
1650370644.0571938,5016,1.0
1650370669.3941004,5511,1.0
1650370694.2251074,6018,1.0
1650370717.1727004,6506,1.0
1650370740.7374847,7007,1.0
1650370765.3389456,7536,1.0
1650370788.6454082,8027,1.0
1650370812.280459,8501,1.0
1650370836.6774645,9015,1.0
1650370863.0562658,9545,1.0
1650370887.2800653,10024,1.0
1650370910.3172522,10526,1.0
1650370933.7469227,11037,1.0
1650370954.9380097,11500,1.0
1650370980.9395695,12044,1.0
1650371001.749053,12507,1.0
1650371026.6971133,13062,1.0
1650371047.7116008,13514,1.0
1650371069.6767037,14005,1.0
1650371095.1316535,14564,1.0
1650371117.4143949,15047,1.0
1650371140.2305362,15534,1.0
1650371163.144583,16029,1.0
1650371185.8350766,16523,1.0
1650371210.598568,17057,1.0
1650371231.97978,17512,1.0
1650371254.2136629,18004,1.0
1650371276.9936614,18502,1.0
1650371300.9391167,19016,1.0
1650371323.6291845,19507,1.0
1650371347.3428478,20021,1.0
1650371371.5022342,20551,1.0
1650371393.6844778,21038,1.0
1650371415.1042407,21508,1.0
1650371438.0380807,22009,1.0
1650371460.544279,22501,1.0
1650371485.4668667,23003,1.0
1650371509.8511844,23537,1.0
1650371533.567682,24045,1.0
1650371555.0640485,24520,1.0
1650371577.6324365,25014,1.0
1650371600.6830928,25512,1.0
1650371624.5837286,26035,1.0
1650371647.1412263,26511,1.0
1650371669.9824705,27009,1.0
1650371693.8319168,27521,1.0
1650371716.2776246,28009,1.0
1650371739.1872745,28505,1.0
1650371763.4462636,29027,1.0
1650371786.8522046,29534,1.0
1650371809.674646,30027,1.0
1650371832.1197245,30506,1.0
1650371855.4056902,31021,1.0
1650371878.3799133,31522,1.0
1650371901.1755195,32011,1.0
1650371923.7767987,32506,1.0
1650371947.5474725,33023,1.0
1650371969.6508718,33500,1.0
1650371993.2024634,34001,1.0
1650372017.940589,34547,1.0
1650372040.1210272,35011,1.0
1650372063.0058627,35516,1.0
1650372086.5978212,36037,1.0
1650372108.6509023,36503,1.0
1650372131.9372509,37012,1.0
1650372154.4828227,37501,1.0
1650372179.5131073,38044,1.0
1650372200.8872566,38508,1.0
1650372223.7191188,39011,1.0
1650372247.3541708,39523,1.0
1650372270.4880037,40034,1.0
1650372293.2256045,40521,1.0
1650372316.0343895,41007,1.0
1650372338.965521,41503,1.0
1650372362.9771209,42020,1.0
1650372385.9549892,42510,1.0
1650372409.1775556,43024,1.0
1650372432.1360407,43517,1.0
1650372456.3341687,44049,1.0
1650372479.1918933,44543,1.0
1650372501.1518843,45008,1.0
1650372524.872226,45508,1.0
1650372548.5270698,46025,1.0
1650372572.0157292,46539,1.0
1650372593.7087953,47008,1.0
1650372616.924639,47502,1.0
1650372640.1707642,48007,1.0
1650372663.8758278,48527,1.0
1650372686.3762643,49012,1.0
1650372709.6879199,49512,1.0
1650372732.4067118,50000,1.0
1650372754.7130268,50501,1.0
