Wall time,Step,Value
1650368170.482863,1016,1.0
1650368195.964438,1547,1.0
1650368218.4170234,2033,1.0
1650368241.4647853,2543,1.0
1650368267.7144687,3045,0.550000011920929
1650368294.2234144,3540,0.0
1650368318.3841906,4082,1.0
1650368343.8919065,4560,0.0
1650368367.180555,5080,1.0
1650368387.3393345,5531,1.0
1650368408.5544229,6000,1.0
1650368434.0254524,6566,1.0
1650368454.121175,7015,1.0
1650368476.3989887,7518,1.0
1650368499.9785893,8049,1.0
1650368522.1638763,8537,1.0
1650368547.374438,9097,1.0
1650368567.8184261,9543,1.0
1650368589.2719564,10004,1.0
1650368611.796531,10500,1.0
1650368634.6250024,11007,1.0
1650368657.9716222,11522,1.0
1650368682.5098395,12064,1.0
1650368704.5340085,12546,1.0
1650368725.777008,13005,1.0
1650368748.7051966,13507,1.0
1650368772.478529,14025,1.0
1650368795.0924065,14526,1.0
1650368817.6045728,15015,1.0
1650368839.6926208,15502,1.0
1650368862.8086977,16013,1.0
1650368887.0667212,16543,1.0
1650368908.9962249,17027,1.0
1650368931.3914044,17517,1.0
1650368953.9044924,18013,1.0
1650368976.705801,18512,1.0
1650369000.1137502,19027,1.0
1650369022.2187521,19510,1.0
1650369044.8635597,20009,1.0
1650369069.2796323,20541,1.0
1650369090.184104,21001,1.0
1650369113.3031719,21501,1.0
1650369138.2461941,22047,1.0
1650369159.3958507,22507,1.0
1650369182.7996306,23019,1.0
1650369205.0063121,23509,1.0
1650369229.3576565,24042,1.0
1650369250.6584985,24507,1.0
1650369274.7788496,25038,1.0
1650369296.490655,25514,1.0
1650369320.759678,26047,1.0
1650369342.6315231,26524,1.0
1650369366.0919206,27038,1.0
1650369391.3510704,27586,1.0
1650369412.1575356,28036,1.0
1650369435.7163334,28550,1.0
1650369456.5741026,29000,1.0
1650369480.0974054,29513,1.0
1650369503.8295534,30027,1.0
1650369526.316721,30521,1.0
1650369550.329103,31047,1.0
1650369571.8461983,31503,1.0
1650369595.3915246,32020,1.0
1650369618.704692,32531,1.0
1650369641.4708054,33021,1.0
1650369664.0122283,33511,1.0
1650369687.2466218,34016,1.0
1650369710.564258,34523,1.0
1650369732.6272645,35008,1.0
1650369755.6612763,35507,1.0
1650369777.78255,36000,1.0
1650369800.7082922,36500,1.0
1650369825.638665,37046,1.0
1650369846.5269043,37500,1.0
1650369870.0337272,38015,1.0
1650369893.4203794,38536,1.0
1650369915.6136186,39003,1.0
1650369939.7754333,39528,1.0
1650369963.0570388,40041,1.0
1650369984.3880079,40502,1.0
1650370007.4777744,41011,1.0
1650370033.0600543,41574,1.0
1650370053.1434913,42010,1.0
1650370075.2656856,42500,1.0
1650370100.0293047,43045,1.0
1650370122.4218287,43531,1.0
1650370144.049213,44005,1.0
1650370167.8785894,44523,1.0
1650370189.5200589,45001,1.0
1650370214.2698915,45530,1.0
1650370236.6871972,46019,1.0
1650370259.355086,46515,1.0
1650370282.7775867,47027,1.0
1650370305.0693052,47521,1.0
1650370328.3405397,48029,1.0
1650370350.2855299,48511,1.0
1650370373.3113737,49020,1.0
1650370395.5015824,49500,1.0
1650370414.0000727,50015,1.0
1650370439.2193146,50512,1.0
