Wall time,Step,Value
1650341284.0678468,4000,0.10000000149011612
1650341284.7435827,6000,0.5454545617103577
1650341285.2911377,8000,0.15909090638160706
1650341286.028917,10000,0.5625
1650341286.6425257,12000,0.800000011920929
1650341287.2224603,14000,0.6486486196517944
1650341287.8067825,16000,0.7241379022598267
1650341288.3916042,18000,0.8333333134651184
1650341289.0406559,20000,0.7586206793785095
1650341289.7520804,22000,0.6666666865348816
1650341290.3616378,24000,0.6470588445663452
1650341290.9565594,26000,0.8181818127632141
1650341291.6261203,28000,0.6571428775787354
1650341292.3913329,30000,0.875
1650341293.0631316,32000,0.8064516186714172
1650341293.816377,34000,0.90625
1650341294.5320249,36000,0.75
1650341295.183901,38000,0.8214285969734192
1650341295.8616223,40000,0.9354838728904724
1650341296.7483916,42000,0.8181818127632141
1650341297.4395068,44000,0.8965517282485962
1650341298.1003263,46000,0.9411764740943909
1650341298.7991695,48000,0.90625
1650341299.4731722,50000,0.9333333373069763
1650341300.01712,52000,0.9428571462631226
1650341300.4773288,54000,1.0
1650341301.0063767,56000,1.0
1650341301.7727363,58000,1.0
1650341302.309076,60000,1.0
1650341303.5206466,62000,0.9666666388511658
1650341304.1622097,64000,0.9428571462631226
1650341304.8075306,66000,1.0
1650341305.3974633,68000,1.0
1650341305.987296,70000,0.9259259104728699
1650341306.6904078,72000,1.0
1650341307.4807427,74000,0.9655172228813171
1650341308.186973,76000,1.0
1650341308.9017196,78000,1.0
1650341309.6269834,80000,1.0
1650341310.3081777,82000,0.9642857313156128
1650341310.9877768,84000,1.0
1650341311.8632135,86000,1.0
1650341312.5828605,88000,1.0
1650341313.2981539,90000,0.9642857313156128
1650341313.98829,92000,0.9615384340286255
1650341314.735694,94000,1.0
1650341315.4063656,96000,1.0
1650341316.1155016,98000,1.0
1650341316.9443555,100000,1.0
1650341317.649009,102000,1.0
1650341318.3407438,104000,1.0
1650341319.0393023,106000,1.0
1650341319.7747343,108000,1.0
1650341320.469028,110000,1.0
1650341321.1595893,112000,1.0
1650341321.933668,114000,1.0
1650341322.7431808,116000,1.0
1650341323.4432805,118000,1.0
1650341324.1332877,120000,1.0
1650341324.8771794,122000,1.0
1650341325.5665126,124000,1.0
1650341326.2654307,126000,1.0
1650341327.022108,128000,1.0
1650341327.8496623,130000,1.0
1650341328.5318294,132000,1.0
1650341329.2130678,134000,1.0
1650341329.9411633,136000,1.0
1650341330.6232219,138000,0.9714285731315613
1650341331.287512,140000,1.0
1650341331.9763434,142000,1.0
1650341333.1303146,144000,1.0
1650341334.0350237,146000,1.0
1650341335.291903,148000,1.0
1650341336.0048227,150000,1.0
1650341336.6912384,152000,1.0
1650341337.5131614,154000,1.0
1650341338.2466166,156000,1.0
1650341338.9225016,158000,1.0
1650341339.619733,160000,1.0
1650341340.3529305,162000,1.0
1650341341.0411131,164000,1.0
1650341341.6770074,166000,1.0
1650341342.425177,168000,1.0
1650341343.1592555,170000,1.0
1650341343.8334398,172000,1.0
1650341344.5016625,174000,1.0
1650341345.2289324,176000,1.0
1650341345.9274817,178000,1.0
1650341346.595444,180000,1.0
1650341347.2704957,182000,1.0
1650341348.1300378,184000,1.0
1650341348.831303,186000,1.0
1650341349.5348654,188000,1.0
1650341350.2736387,190000,1.0
1650341350.978348,192000,1.0
1650341351.6568034,194000,1.0
1650341352.3881636,196000,1.0
1650341353.2246668,198000,1.0
1650341353.9199302,200000,1.0
1650341354.6360517,202000,1.0
1650341355.3459964,204000,1.0
1650341356.0566378,206000,1.0
1650341356.9575005,208000,1.0
1650341359.1138418,210000,1.0
1650341361.311127,212000,1.0
1650341363.988435,214000,1.0
1650341365.2467434,216000,1.0
1650341365.9576402,218000,1.0
1650341366.5763652,220000,1.0
1650341367.3622553,222000,1.0
1650341368.6595442,224000,1.0
1650341369.434048,226000,1.0
1650341370.0832124,228000,1.0
1650341370.5564728,230000,1.0
1650341371.1043255,232000,1.0
1650341371.7893407,234000,1.0
1650341374.7650678,236000,1.0
1650341378.944185,238000,1.0
1650341381.6662474,240000,1.0
1650341383.219218,242000,1.0
1650341384.7844017,244000,1.0
1650341386.611086,246000,1.0
1650341388.2169297,248000,1.0
1650341389.7668,250000,1.0
1650341395.9073362,252000,1.0
1650341397.9220965,254000,1.0
1650341399.9717746,256000,1.0
1650341401.5540652,258000,1.0
1650341403.497667,260000,1.0
1650341404.5400467,262000,1.0
1650341405.8420482,264000,1.0
1650341406.8865583,266000,1.0
1650341408.1150064,268000,1.0
1650341409.4271376,270000,1.0
1650341410.6153672,272000,1.0
1650341412.071579,274000,1.0
1650341413.0412583,276000,1.0
1650341413.9620335,278000,1.0
1650341415.074384,280000,1.0
1650341416.1435375,282000,1.0
1650341417.2767124,284000,1.0
1650341418.2100682,286000,1.0
1650341419.3804264,288000,1.0
1650341420.6038208,290000,1.0
1650341421.6365516,292000,1.0
1650341423.2473538,294000,1.0
1650341424.3804955,296000,1.0
1650341425.870141,298000,1.0
1650341427.0447168,300000,1.0
