Wall time,Step,Value
1650343588.8638458,1688,0.0
1650343637.1588016,2515,0.0
1650343686.4507082,3253,0.0
1650343739.8063567,4002,0.0
1650343798.46275,4884,0.0
1650343851.4276688,5681,0.0
1650343899.5933666,6401,0.0
1650343958.3911378,7354,0.0
1650344006.6232586,8074,0.0
1650344056.8555396,8874,0.0
1650344107.9782944,9674,0.0
1650344160.1394753,10474,0.0
1650344209.0726113,11242,0.3499999940395355
1650344258.6888962,12042,0.3499999940395355
1650344309.7543387,12842,0.0
1650344358.9869292,13685,0.0
1650344398.258345,14435,0.0
1650344441.2824101,15256,0.0
1650344490.1998074,16142,0.0
1650344530.4834676,16819,0.0
1650344577.6077924,17716,0.0
1650344621.334727,18438,0.15000000596046448
1650344672.0763705,19231,0.10000000149011612
1650344728.7568626,20125,0.30000001192092896
1650344777.270633,20857,0.0
1650344825.952279,21610,0.0
1650344879.0357592,22526,0.0
1650344926.6017017,23302,0.0
1650344973.208981,24152,0.0
1650345014.573378,24901,0.0
1650345056.1752706,25611,0.0
1650345097.7512374,26403,0.0
1650345147.759963,27319,0.0
1650345200.0546312,28139,0.0
1650345252.6014524,28939,0.0
1650345292.2743986,29628,0.0
1650345340.725336,30441,0.3499999940395355
1650345389.4501324,31272,0.4000000059604645
1650345433.052278,32018,0.75
1650345483.4005442,32811,0.5
1650345531.9574537,33611,0.6499999761581421
1650345587.060779,34493,0.44999998807907104
1650345631.7699766,35246,0.25
1650345681.262227,36067,0.4000000059604645
1650345735.0912516,36943,0.30000001192092896
1650345778.0620694,37646,0.6000000238418579
1650345836.3465226,38558,0.30000001192092896
1650345876.2423675,39212,0.75
1650345933.5043576,40115,0.25
1650345977.113051,40807,0.6000000238418579
1650346030.9506545,41726,0.75
1650346079.12483,42488,0.4000000059604645
1650346124.6997097,43262,0.44999998807907104
1650346171.6400747,44004,0.25
1650346224.4813204,44835,0.15000000596046448
1650346269.2926793,45614,0.25
1650346317.2589347,46444,0.30000001192092896
1650346373.077871,47316,0.5
1650346418.412998,48081,0.550000011920929
1650346469.7055283,48914,0.15000000596046448
1650346512.0958612,49637,0.3499999940395355
1650346564.2088053,50470,0.30000001192092896
1650346619.0981894,51345,0.4000000059604645
1650346666.1976564,52118,0.5
1650346711.1462939,52817,0.15000000596046448
1650346770.4011936,53719,0.10000000149011612
1650346816.686565,54443,0.6000000238418579
1650346864.346849,55245,0.6499999761581421
1650346918.804915,56155,0.75
1650346963.3123338,56885,0.6000000238418579
1650347006.708441,57613,0.699999988079071
1650347057.160421,58445,0.550000011920929
1650347104.9109445,59255,0.20000000298023224
1650347150.9243271,60043,0.30000001192092896
1650347198.23605,60869,0.0
1650347249.8642032,61759,0.75
1650347294.6935797,62485,0.699999988079071
1650347344.5854657,63301,0.5
1650347388.708861,64070,0.699999988079071
1650347434.384291,64817,0.8500000238418579
1650347485.979122,65726,0.8999999761581421
1650347528.6848106,66413,1.0
1650347584.4539266,67346,1.0
1650347632.0103426,68139,0.800000011920929
1650347672.2846544,68847,0.4000000059604645
1650347722.4802856,69679,0.800000011920929
1650347766.9491496,70426,1.0
1650347819.6765,71292,0.949999988079071
1650347867.8680468,72078,0.75
1650347915.810488,72902,0.6000000238418579
1650347960.3675034,73660,1.0
1650348006.0296333,74412,1.0
1650348057.2239804,75256,1.0
1650348103.9953094,76019,1.0
1650348159.9603152,76919,1.0
1650348203.72092,77636,0.949999988079071
1650348250.9861784,78426,1.0
1650348306.2628071,79334,0.949999988079071
1650348347.8642952,80016,1.0
1650348394.8366318,80815,0.949999988079071
