Wall time,Step,Value
1650482616.0146892,1045,1.0
1650482632.6464725,1540,1.0
1650482648.9313633,2007,1.0
1650482668.4050782,2587,1.0
1650482684.4226549,3069,1.0
1650482701.3690073,3516,0.0
1650482719.8085303,4068,1.0
1650482738.0671346,4557,0.0
1650482755.6253977,5032,0.0
1650482773.6409957,5527,0.0
1650482791.599657,6022,0.0
1650482810.6470602,6548,0.0
1650482828.3132846,7029,0.0
1650482848.5537894,7587,0.0
1650482865.467485,8042,0.0
1650482881.3194342,8503,1.0
1650482900.2412806,9025,0.0
1650482917.4000764,9520,1.0
1650482937.4669943,10068,0.0
1650482955.7383063,10563,0.0
1650482974.4000192,11077,0.0
1650482992.4280102,11568,0.0
1650483009.9251206,12059,1.0
1650483028.612558,12587,1.0
1650483043.5376468,13002,1.0
1650483064.9936988,13596,0.0
1650483082.952613,14083,0.0
1650483099.4699113,14559,1.0
1650483116.934474,15024,0.0
1650483135.2787623,15519,0.0
1650483151.9026108,16011,1.0
1650483171.5900233,16591,1.0
1650483188.397972,17086,1.0
1650483205.2454276,17581,1.0
1650483222.119545,18076,1.0
1650483238.5184133,18559,1.0
1650483253.9434123,19010,1.0
1650483272.0689614,19547,1.0
1650483288.3480349,20027,1.0
1650483305.5118933,20537,1.0
1650483324.3482974,21098,1.0
1650483338.7587821,21523,1.0
1650483356.673593,22053,1.0
1650483372.8069658,22531,1.0
1650483390.7613282,23062,1.0
1650483407.8450375,23564,1.0
1650483424.4894755,24051,1.0
1650483439.9868836,24508,1.0
1650483457.6351168,25032,1.0
1650483474.91956,25541,1.0
1650483491.1754637,26018,1.0
1650483507.9416053,26510,1.0
1650483525.161037,27017,1.0
1650483542.9966438,27539,1.0
1650483558.8339214,28005,1.0
1650483576.1739438,28514,1.0
1650483592.9198759,29006,1.0
1650483610.7623563,29528,1.0
1650483627.1816773,30009,1.0
1650483644.1366298,30514,1.0
1650483660.8758645,31021,1.0
1650483676.9098754,31500,1.0
1650483694.677542,32035,1.0
1650483710.617253,32512,1.0
1650483727.1077328,33008,1.0
1650483744.311532,33530,1.0
1650483761.4266815,34037,1.0
1650483778.503183,34529,1.0
1650483795.0744324,35010,1.0
1650483813.109402,35532,1.0
1650483829.4091394,36011,1.0
1650483847.3103287,36533,1.0
1650483863.7983735,37014,1.0
1650483880.4614377,37502,1.0
1650483897.4966738,38011,1.0
1650483914.0082977,38505,1.0
1650483931.5067587,39014,1.0
1650483948.7747676,39521,1.0
1650483964.4759686,40000,1.0
1650483982.2514648,40524,1.0
1650483999.429411,41033,1.0
1650484016.2123203,41529,1.0
1650484032.4411001,42008,1.0
1650484049.1392753,42504,1.0
1650484066.4711297,43013,1.0
1650484083.170358,43507,1.0
1650484100.7629995,44031,1.0
1650484117.4479058,44525,1.0
1650484134.607483,45032,1.0
1650484151.1063476,45509,1.0
1650484168.3645616,46012,1.0
1650484184.8952389,46506,1.0
1650484201.735436,47000,1.0
1650484218.793501,47509,1.0
1650484235.6122649,48003,1.0
1650484253.0034688,48512,1.0
1650484269.7129421,49002,1.0
1650484287.871018,49524,1.0
1650484305.556908,50029,1.0
1650484323.3596811,50540,1.0
