Wall time,Step,Value
1650486631.935758,1073,0.0
1650486647.5264988,1523,1.0
1650486666.0307894,2018,0.0
1650486684.1237905,2558,1.0
1650486702.4905221,3053,0.0
1650486719.534092,3548,1.0
1650486737.0219197,4027,1.0
1650486755.392098,4522,0.0
1650486776.0565696,5088,0.0
1650486794.8795614,5583,0.0
1650486812.6639028,6068,1.0
1650486829.9369714,6563,1.0
1650486848.2986135,7058,0.0
1650486866.4639988,7553,0.0
1650486885.2988043,8047,0.5
1650486902.5918875,8510,0.0
1650486922.2023852,9054,0.0
1650486939.048204,9545,1.0
1650486955.2397408,10002,1.0
1650486975.87137,10596,1.0
1650486992.2856717,11071,1.0
1650487007.1811457,11566,1.0
1650487020.8113632,12041,1.0
1650487036.0470116,12536,0.4000000059604645
1650487052.5206535,13096,1.0
1650487065.717333,13541,1.0
1650487079.5272963,14006,1.0
1650487094.0727572,14501,1.0
1650487109.8555915,15053,1.0
1650487123.6648011,15524,1.0
1650487137.7624693,16019,1.0
1650487152.2685676,16531,1.0
1650487166.0502045,17026,1.0
1650487181.5479178,17576,1.0
1650487195.3889904,18071,1.0
1650487208.5795605,18540,1.0
1650487222.4488988,19036,1.0
1650487237.1010268,19549,1.0
1650487250.773412,20036,1.0
1650487265.4082987,20557,1.0
1650487279.0512118,21046,1.0
1650487293.0273845,21543,1.0
1650487308.1490812,22054,1.0
1650487322.9955733,22584,1.0
1650487335.748061,23033,1.0
1650487350.6967998,23565,1.0
1650487363.4590504,24013,1.0
1650487377.2559464,24503,1.0
1650487392.1064494,25025,1.0
1650487406.117692,25520,1.0
1650487420.8577394,26038,1.0
1650487434.3477445,26518,1.0
1650487448.7760432,27029,1.0
1650487462.4537487,27508,1.0
1650487476.4253373,28000,1.0
1650487491.050919,28522,1.0
1650487505.4628441,29029,1.0
1650487519.0052505,29508,1.0
1650487533.1281564,30002,1.0
1650487547.6518695,30522,1.0
1650487562.225671,31031,1.0
1650487576.306567,31527,1.0
1650487590.5611908,32034,1.0
1650487604.2891388,32513,1.0
1650487618.5360518,33020,1.0
1650487632.332501,33503,1.0
1650487646.9355054,34021,1.0
1650487660.6320786,34500,1.0
1650487675.098601,35009,1.0
1650487689.4278169,35505,1.0
1650487703.7282155,36012,1.0
1650487718.2883375,36519,1.0
1650487733.0392046,37041,1.0
1650487746.4244683,37503,1.0
1650487761.6694403,38042,1.0
1650487774.9792678,38510,1.0
1650487789.179163,39015,1.0
1650487803.3414717,39511,1.0
1650487817.756515,40018,1.0
1650487832.3100662,40525,1.0
1650487846.428467,41019,1.0
1650487860.4733543,41511,1.0
1650487875.2861063,42035,1.0
1650487889.1943479,42527,1.0
1650487902.8267527,43004,1.0
1650487917.786844,43528,1.0
1650487931.658511,44009,1.0
1650487946.8108656,44542,1.0
1650487960.8255374,45032,1.0
1650487974.2831128,45509,1.0
1650487989.2806826,46031,1.0
1650488003.726622,46540,1.0
1650488017.1621635,47006,1.0
1650488031.2638597,47500,1.0
1650488045.855834,48009,1.0
1650488060.5979245,48531,1.0
1650488074.5482142,49012,1.0
1650488089.0397663,49521,1.0
1650488102.6738648,50000,1.0
1650488117.078924,50507,1.0
