Wall time,Step,Value
1650488875.4996333,1003,0.44999998807907104
1650488893.793792,1597,0.5
1650488907.7744203,2082,1.0
1650488922.6312127,2541,0.0
1650488936.9950461,3043,1.0
1650488952.9903224,3584,1.0
1650488967.9867845,4051,0.0
1650488982.4646485,4502,0.0
1650489000.0191436,5050,0.0
1650489015.990949,5535,0.0
1650489031.543542,6019,0.0
1650489047.7226422,6513,0.0
1650489065.7366643,7026,0.0
1650489082.4736075,7505,0.0
1650489100.8635337,8051,0.0
1650489116.1875956,8546,0.0
1650489130.4294693,9017,0.0
1650489145.2391644,9512,0.0
1650489161.904832,10074,0.0
1650489176.7120936,10569,0.0
1650489191.518656,11058,0.0
1650489206.2570271,11553,0.0
1650489221.4610615,12016,0.0
1650489239.8582983,12592,0.0
1650489256.3792298,13087,0.0
1650489272.0256908,13582,0.0
1650489286.8800912,14067,1.0
1650489300.0064929,14506,1.0
1650489315.2592866,15022,1.0
1650489329.4342353,15505,1.0
1650489343.9812565,16000,1.0
1650489362.6130497,16594,1.0
1650489376.11325,17045,1.0
1650489390.4176507,17540,1.0
1650489404.224812,18012,1.0
1650489419.983356,18546,1.0
1650489433.9933836,19007,1.0
1650489450.578198,19540,1.0
1650489466.0285566,20039,1.0
1650489481.1835868,20560,1.0
1650489495.9203763,21053,1.0
1650489509.6494052,21519,1.0
1650489523.883762,22022,1.0
1650489537.8214083,22515,1.0
1650489552.128138,23011,1.0
1650489566.5186555,23522,1.0
1650489580.4590027,24005,1.0
1650489594.842238,24507,1.0
1650489610.3364112,25031,1.0
1650489624.5154626,25525,1.0
1650489638.9303849,26034,1.0
1650489653.1066406,26526,1.0
1650489666.82523,27003,1.0
1650489682.1310737,27540,1.0
1650489695.940873,28015,1.0
1650489709.593487,28509,1.0
1650489723.246766,29003,1.0
1650489737.860518,29529,1.0
1650489751.2254918,30010,1.0
1650489764.9281085,30500,1.0
1650489778.844046,31005,1.0
1650489793.541931,31540,1.0
1650489806.3276365,32002,1.0
1650489820.3159442,32507,1.0
1650489834.3345518,33018,1.0
1650489849.256941,33512,1.0
1650489865.6592112,34032,1.0
1650489880.611593,34507,1.0
1650489895.5252652,35014,1.0
1650489911.032132,35534,1.0
1650489925.4382677,36011,1.0
1650489940.6852813,36533,1.0
1650489955.0991619,37012,1.0
1650489970.3821478,37504,1.0
1650489985.1882443,38013,1.0
1650489999.60993,38507,1.0
1650490015.2377892,39042,1.0
1650490030.0632315,39540,1.0
1650490044.6950254,40034,1.0
1650490058.737882,40513,1.0
1650490073.3235474,41007,1.0
1650490087.546104,41514,1.0
1650490101.9116714,42006,1.0
1650490116.2352405,42500,1.0
1650490132.1335692,43041,1.0
1650490146.205752,43505,1.0
1650490161.3730268,44014,1.0
1650490175.6402404,44512,1.0
1650490190.2574406,45010,1.0
1650490205.24489,45532,1.0
1650490220.1128857,46041,1.0
1650490233.893944,46505,1.0
1650490249.2426004,47012,1.0
1650490265.09472,47530,1.0
1650490280.7698846,48035,1.0
1650490295.9004402,48512,1.0
1650490312.4211323,49034,1.0
1650490328.6813698,49539,1.0
1650490343.9858773,50014,1.0
1650490359.978919,50510,1.0
